organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Vodafone Group ,,hys_feedback,0,0,0,article,36,Implementing provisions,0.849571,"Establishes the Commission's power to adopt implementing acts specifying procedural and technical details for notifications, investigations, deadlines, and cooperation arrangements under the Digital Markets Act.",NOISE,"Vodafone's pre-proposal text focuses on the definition of gatekeepers, the appropriateness of a blacklist approach, and the structure of an ex ante regulatory framework — it does not express any specific advocacy position on the Commission's power to adopt implementing acts or the procedural arrangements covered by Article 36. The org text contains no substantive stance that can be evaluated against this provision.",1,False
Vodafone Group ,,hys_feedback,0,0,0,article,8,Suspension,0.872154,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances beyond their control.,NOISE,"Vodafone's position focuses on the design of the gatekeeper designation framework, the flexibility of regulatory approaches, and criteria for defining gatekeepers — it does not express any specific stance on suspension mechanisms for gatekeeper obligations. The org text contains no substantive advocacy position related to the suspension procedure established in Article 8.",1,False
YELP,173076213280-06,hys_feedback,0,0,0,article,1,Subject-matter and scope,0.868836,"Establishes the subject matter and scope of the Digital Markets Act, applying harmonised rules to ensure contestable and fair markets where gatekeepers are present, while preserving existing competition law frameworks and limiting Member States from imposing additional gatekeeper-specific obligations.",ALIGNED,"Yelp explicitly advocates for an ex ante regulatory framework to complement antitrust rules, citing the need for timely and effective intervention against gatekeeper behaviour such as Google's self-favouring. Article 1 directly establishes exactly such a framework — harmonised ex ante rules targeting gatekeepers — while also preserving existing competition law (Articles 101/102 TFEU), which aligns with Yelp's position that competition law should continue to apply alongside the new instrument.",1,False
YELP,173076213280-06,hys_feedback,0,0,0,article,22,Interim measures,0.868252,"Empowers the Commission to order interim measures against a gatekeeper on the basis of a prima facie infringement finding, in cases of urgency due to risk of serious and irreparable damage to business or end users.",ALIGNED,"Yelp explicitly advocates for interim measures as a useful tool to prevent imminent, irreparable damage to competition — precisely the rationale and mechanism that Article 22 establishes. The provision directly delivers what the org argued for: a formal interim measures power triggered by urgency and risk of serious, irreparable harm.",3,False
YELP,173076213280-06,hys_feedback,0,0,0,article,6,Obligations for gatekeepers susceptible of being further specified,0.862004,"Establishes a set of behavioural obligations for gatekeepers, including prohibitions on self-preferencing in ranking, data access requirements, interoperability mandates, and restrictions on using business users' data for competition against them.",ALIGNED,"Yelp explicitly advocates for an ex ante regulatory framework targeting large platforms with gatekeeper power that can self-preference and starve competing specialised/local search providers of traffic — directly referencing Google's ranking behaviour. Article 6(1)(d) specifically requires gatekeepers to refrain from self-preferencing their own services in ranking and to apply fair and non-discriminatory ranking conditions, which directly addresses the harm Yelp describes. The provision takes concrete action in exactly the direction Yelp advocated for.",1,False
eu travel tech ,70614728635-77,hys_feedback,0,0,0,article,11,Anti-circumvention,0.865937,"Requires gatekeepers to ensure full and effective compliance with core platform obligations, prohibiting circumvention through any contractual, commercial, or technical behaviour, and preventing degradation of services for users exercising their rights.",NOISE,"The org's position expresses general support for ex ante regulation of large online platforms acting as gatekeepers and advocates for a well-scoped definition of which platforms should be covered, but does not take any specific stance on anti-circumvention mechanisms or the enforcement of compliance obligations. This is a general endorsement of the regulatory framework without a directional position on the specific content of Article 11.",1,False
eu travel tech ,70614728635-77,hys_feedback,0,0,0,article,3,Designation of gatekeepers,0.868266,"Establishes the criteria and quantitative thresholds for designating providers of core platform services as ""gatekeepers"" subject to ex ante regulatory obligations under the Digital Markets Act.",ALIGNED,"EU Travel Tech explicitly advocates for a new ex ante regulatory framework targeting large online platforms acting as gatekeepers, and calls for a definition of ""Systemic Digital Platforms"" that is neither under- nor over-inclusive — capturing only those platforms whose systemic role threatens fairness and openness. Article 3 directly responds to this by establishing specific quantitative thresholds (turnover, market capitalisation, active users) and qualitative criteria to designate gatekeepers in a targeted manner, precisely the kind of calibrated, neither under- nor over-inclusive definition the organisation requested.",1,False
eu travel tech ,70614728635-77,hys_feedback,0,0,0,article,38,Review,0.864572,"Requires the Commission to periodically evaluate the Regulation and assess whether additional rules or obligations are needed to ensure digital markets remain contestable and fair, with the possibility of follow-up legislative proposals.",ALIGNED,"EU Travel Tech explicitly advocates for a new ex ante regulatory framework that keeps EU markets ""fair and contestable"" and calls for a well-calibrated definition of covered platforms that avoids over- or under-inclusion. Article 38's review mechanism directly serves this goal by mandating periodic reassessment of whether the scope (including the list of core platform services) and obligations remain appropriately targeted — precisely the kind of ongoing calibration the org advocates for to ensure the framework captures the right platforms without imposing unnecessary burdens.",1,False
eu travel tech ,70614728635-77,hys_feedback,0,0,0,article,7,Compliance with obligations for gatekeepers,0.871899,"Establishes a compliance framework requiring gatekeepers to implement effective measures for obligations under Articles 5 and 6, and empowers the Commission to specify those measures if they are found to be ineffective, ensuring proportionality.",NOISE,"The org's position expresses general support for ex ante regulation of large online platforms and advocates for a well-scoped definition of gatekeepers, but does not take any specific stance on the compliance mechanism, Commission enforcement powers, or proportionality standards established in Article 7. The org's advocacy is too broad and high-level to constitute a specific position on this provision's concrete compliance and enforcement procedures.",1,False
eu travel tech ,70614728635-77,hys_feedback,0,0,0,article,8,Suspension,0.871083,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances beyond their control.,NOISE,"The org's position expresses general support for ex ante regulation of large online platforms and advocates for a well-scoped definition of gatekeepers, but takes no specific stance on whether suspension mechanisms for gatekeepers should or should not exist. The org text contains no directional advocacy position that can be evaluated against this specific suspension provision.",1,False
